,Unnamed: 0,Unnamed: 0.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,ranks,readability,solutions
10,10,10,2.0,True,"01 25, 2018",A3HX4X3TIABWOV,B000KPIHQ4,"{'Size Name:': "" Men's 6-6.5, Women's 8-8.5"", 'Style:': ' Pinnacle'}",Denise A. Conte,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,1516838400,,,"[('full force', 0.26234889814836987), ('Podiatrist', 0.14954532440134222), ('my Plantar Fascitis', 0.09697992638279608), ('3 Days', 0.09340669008808694), ('the unbearable pain', 0.0830692037397369), ('my Podiatrist', 0.06907202663933187), ('These', 0.0)]",58.73000000000002,out
11,11,11,2.0,True,"01 5, 2017",AW8UBYMNJ894V,B000KPIHQ4,"{'Size Name:': "" Men's 8-8.5, Women's 10-10.5"", 'Style:': ' Pinnacle'}",Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400,,,"[('seconds', 0.08906659716995409), ('my walking shoes', 0.08858034825827993), ('my feet', 0.08464715205207304), ('SmartDestination', 0.07862193903508406), ('the outside edges', 0.07201444465388213), ('my plantar fasciitis', 0.06973649865106932), ('The hard plastic insert', 0.062075759139038636), ('6th', 0.061263611427176394), ('the best thing', 0.05940174245986255), ('my 6th pair', 0.04628684232586255), ('one day', 0.04113809908150157), ('the ones', 0.02829645003920714), ('I', 0.0), ('This', 0.0), ('them', 0.0), ('they', 0.0)]",73.44204545454546,out
12,12,12,5.0,True,"10 17, 2016",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,We have used these inserts for years.  They provide great support.,Great inserts,1476662400,,,"[('great support', 0.2985929902963036), ('years', 0.2551639557101584), ('these inserts', 0.08664884078279034), ('They', 0.0), ('We', 0.0)]",102.045,in
13,13,13,5.0,True,"08 22, 2016",AW8UBYMNJ894V,B000KPIHQ4,,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000,,,"[('more cushioning', 0.13626994044404037), ('plantar fasciitis', 0.11490333268845693), ('bone spurs', 0.10069938218594673), ('Powerstep', 0.08613081376901406), ('a high instep', 0.08332048313130974), ('insert', 0.06907580251221983), ('Pinnacle', 0.059451409373792244), ('His bone spurs', 0.05340391200373407), ('all the other Powerstep', 0.05256826771711886), ('my husband', 0.0471412631370276), ('all his shoes', 0.027948605939995076), ('every 3 months', 0.02559049286543167), ('257lbs', 0.0), ('63', 0.0), ('He', 0.0), ('This', 0.0), ('him', 0.0), ('his', 0.0), ('them', 0.0), ('these', 0.0), ('you', 0.0)]",80.05117647058826,out
14,14,14,5.0,True,"03 23, 2016",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,Excellent insole with good support.,Five Stars,1458691200,,,"[('good support', 0.39309699602751175), ('Excellent insole', 0.26018642150652027)]",49.48000000000002,in
15,15,15,5.0,True,"06 24, 2015",AW8UBYMNJ894V,B000KPIHQ4,,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000,,,"[('plantar fasciitis', 0.14499612553759464), ('A little more cushion', 0.13053786051683805), ('the Powerstep Protech', 0.10896122537359304), ('the arch', 0.0749179428865134), ('both styles', 0.054767426507677054), ('We', 0.0)]",66.10000000000002,out
16,16,16,5.0,True,"11 17, 2014",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,,,"[('athletic shoes', 0.1681024862950832), ('the original insoles', 0.12516556578142704), ('These insoles', 0.09191213151576799), ('my heels', 0.07339116133648509), ('a pair', 0.048108913960550115), ('I', 0.0)]",72.61545454545457,in
17,17,17,2.0,True,"01 25, 2018",A3HX4X3TIABWOV,B000V0IBDM,,Denise A. Conte,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,1516838400,,,"[('full force', 0.26234889814836987), ('Podiatrist', 0.14954532440134222), ('my Plantar Fascitis', 0.09697992638279608), ('3 Days', 0.09340669008808694), ('the unbearable pain', 0.0830692037397369), ('my Podiatrist', 0.06907202663933187), ('These', 0.0)]",58.73000000000002,out
18,18,18,2.0,True,"01 5, 2017",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400,,,"[('seconds', 0.08906659716995409), ('my walking shoes', 0.08858034825827993), ('my feet', 0.08464715205207304), ('SmartDestination', 0.07862193903508406), ('the outside edges', 0.07201444465388213), ('my plantar fasciitis', 0.06973649865106932), ('The hard plastic insert', 0.062075759139038636), ('6th', 0.061263611427176394), ('the best thing', 0.05940174245986255), ('my 6th pair', 0.04628684232586255), ('one day', 0.04113809908150157), ('the ones', 0.02829645003920714), ('I', 0.0), ('This', 0.0), ('them', 0.0), ('they', 0.0)]",73.44204545454546,out
19,19,19,5.0,True,"10 17, 2016",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,We have used these inserts for years.  They provide great support.,Great inserts,1476662400,,,"[('great support', 0.2985929902963036), ('years', 0.2551639557101584), ('these inserts', 0.08664884078279034), ('They', 0.0), ('We', 0.0)]",102.045,in
20,20,20,5.0,True,"08 22, 2016",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000,,,"[('more cushioning', 0.13626994044404037), ('plantar fasciitis', 0.11490333268845693), ('bone spurs', 0.10069938218594673), ('Powerstep', 0.08613081376901406), ('a high instep', 0.08332048313130974), ('insert', 0.06907580251221983), ('Pinnacle', 0.059451409373792244), ('His bone spurs', 0.05340391200373407), ('all the other Powerstep', 0.05256826771711886), ('my husband', 0.0471412631370276), ('all his shoes', 0.027948605939995076), ('every 3 months', 0.02559049286543167), ('257lbs', 0.0), ('63', 0.0), ('He', 0.0), ('This', 0.0), ('him', 0.0), ('his', 0.0), ('them', 0.0), ('these', 0.0), ('you', 0.0)]",80.05117647058826,out
21,21,21,5.0,True,"03 23, 2016",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,Excellent insole with good support.,Five Stars,1458691200,,,"[('good support', 0.39309699602751175), ('Excellent insole', 0.26018642150652027)]",49.48000000000002,in
22,22,22,5.0,True,"06 24, 2015",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000,,,"[('plantar fasciitis', 0.14499612553759464), ('A little more cushion', 0.13053786051683805), ('the Powerstep Protech', 0.10896122537359304), ('the arch', 0.0749179428865134), ('both styles', 0.054767426507677054), ('We', 0.0)]",66.10000000000002,out
23,23,23,5.0,True,"11 17, 2014",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,,,"[('athletic shoes', 0.1681024862950832), ('the original insoles', 0.12516556578142704), ('These insoles', 0.09191213151576799), ('my heels', 0.07339116133648509), ('a pair', 0.048108913960550115), ('I', 0.0)]",72.61545454545457,in
24,24,24,1.0,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,Waaaay too BIG,One Star,1520812800,,,[],119.19000000000004,undec
25,25,25,5.0,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,Comfortable,Five Stars,1518048000,,,[],-132.57999999999996,undec
26,26,26,4.0,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR4W,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35.0,,"[('mens size', 0.24935141482412582), ('a difference size', 0.13528514961934146), ('a size chart', 0.1268145603204579), ('the sizes', 0.10666660886479895), ('great price', 0.08453342801867525), ('the product', 0.03517134979813385), ('i', 0.0), ('two', 0.0)]",84.8057142857143,out
27,27,27,5.0,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600,,,"[('Good product', 0.20716448941124213), ('no problem', 0.11987465960291184), ('the price', 0.105817563316048)]",102.045,undec
28,28,28,5.0,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200,3.0,,"[('warm climates', 0.1563805520362661), ('great price', 0.1488045022070642), ('hot water', 0.139654226958355), ('Good quality', 0.12191223513149155), ('a medium size', 0.1023295105670384), ('34 waist', 0.04752362490571993), ('a 30 inch inseam', 0.043964056716236724), ('30 inch', 0.037031445520722336), ('these sweatpants', 0.037031445520722336), ('34', 0.0), ('I', 0.0)]",87.71444767441862,undec
29,29,29,1.0,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,Waaaay too BIG,One Star,1520812800,,,[],119.19000000000004,undec
30,30,30,5.0,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800,,,"[('Excellent value', 0.40558868321380565)]",14.455000000000013,undec
31,31,31,5.0,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200,,,"[('Typical Hanes quality', 0.2749127715415475), ('Good weight', 0.2010221914061262), ('Hanes', 0.1684392778960474)]",70.50704545454548,undec
32,32,32,3.0,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600,,,"[('first', 0.12103956237786262), ('a sweatpant purchase', 0.11090538391256076), ('the wast string', 0.06554518519550458), ('The waist string', 0.06258903582491185), ('the pants', 0.03826240541901675), ('I', 0.0), ('it', 0.0), ('them', 0.0)]",85.62982142857143,undec
33,33,33,5.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600,,,"[('dark grey', 0.2853188229861284), ('I', 0.0), ('they', 0.0)]",100.24000000000002,undec
34,34,34,3.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,They fit great. But they fade bad,Three Stars,1492041600,,,"[('They', 0.0), ('they', 0.0)]",118.6825,undec
35,35,35,4.0,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400,,,"[('no pockets', 0.14471397085176993), ('the pants', 0.09218727194610331), ('four stars', 0.08137686243026661), ('I', 0.0), ('four', 0.0)]",87.99727272727276,undec
36,36,36,3.0,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,Average product.  As described.,Three Stars,1490313600,,,"[('Average product', 0.40558868321380565)]",68.93750000000003,undec
37,37,37,5.0,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,Comfortable,Five Stars,1518048000,,,[],-132.57999999999996,undec
38,38,38,5.0,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR5G,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,,"[('comfy fit', 0.4714045207910316)]",77.90500000000002,undec
39,39,39,2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200,,,"[('Nice pants', 0.244393376394371), ('a medium', 0.14573847150090757), ('it', 0.0)]",91.78000000000004,undec
40,40,40,2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200,,,"[('Nice pants', 0.244393376394371), ('a medium', 0.14573847150090757), ('it', 0.0)]",83.32000000000004,undec
41,41,41,4.0,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200,,,"[('d', 0.15737299661050286), ('pockets', 0.13183263336448905), ('my husband', 0.07509006038303494), ('another pair', 0.06704911893588471), ('I', 0.0), ('me', 0.0), ('them', 0.0), ('these', 0.0), ('they', 0.0)]",90.32125,undec
42,42,42,1.0,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR5G,,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,,"[('clown pants', 0.27378978763133016), ('the pants', 0.10586477198262417), ('my husband', 0.08280482984060256), ('the legs', 0.07442493806301931), ('he', 0.0)]",73.1421739130435,undec
43,43,43,3.0,True,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",Cici Ciconia,As described.,Three Stars,1485907200,,,[],77.90500000000002,undec
44,44,44,5.0,True,"01 23, 2017",A2BFZUQ2XV535H,B000YFSR5G,,Amazon Customer,Very comfy for wearing at home.,Five Stars,1485129600,,,"[('home', 0.3608563763907034)]",73.84500000000001,undec
45,45,45,5.0,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,So comfortable and soft.,Hanes pants,1457395200,,,[],54.72500000000002,undec
46,46,46,2.0,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,,"[('Fruit', 0.14169658840735258), ('the loom', 0.09367891964142033), ('Fruit of the', 0.04752648057879735)]",77.78375000000003,undec
47,47,47,3.0,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,,"[('shoes', 0.29499743629328806), ('the pants', 0.09152562771823985), ('the bottom', 0.08079288207902413), ('No pockets', 0.0629554224898356)]",88.905,undec
48,48,48,4.0,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600,,,"[('jeans', 0.22539880934724002), ('the house', 0.10410725060132014), ('my size', 0.08721137670592632), ('These', 0.0), ('anything', 0.0)]",90.95857142857145,undec
49,49,49,5.0,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,So comfortable and soft.,Hanes pants,1457395200,,,[],54.72500000000002,undec
50,50,50,2.0,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,,"[('Fruit', 0.14169658840735258), ('the loom', 0.09367891964142033), ('Fruit of the', 0.04752648057879735)]",77.78375000000003,undec
51,51,51,3.0,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,,"[('shoes', 0.29499743629328806), ('the pants', 0.09152562771823985), ('the bottom', 0.08079288207902413), ('No pockets', 0.0629554224898356)]",88.905,undec
52,52,52,4.0,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600,,,"[('jeans', 0.22539880934724002), ('the house', 0.10410725060132014), ('my size', 0.08721137670592632), ('These', 0.0), ('anything', 0.0)]",90.95857142857145,undec
53,53,53,5.0,True,"02 4, 2015",A36GNVEQP92OPA,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Peter B. Thorp,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,1423008000,,,"[('no pockets', 0.07418687961485536), ('em', 0.0)]",89.89642857142859,undec
54,54,54,5.0,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600,,,"[('Good product', 0.20716448941124213), ('no problem', 0.11987465960291184), ('the price', 0.105817563316048)]",102.045,in
55,55,55,5.0,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200,3.0,,"[('warm climates', 0.1563805520362661), ('great price', 0.1488045022070642), ('hot water', 0.139654226958355), ('Good quality', 0.12191223513149155), ('a medium size', 0.1023295105670384), ('34 waist', 0.04752362490571993), ('a 30 inch inseam', 0.043964056716236724), ('30 inch', 0.037031445520722336), ('these sweatpants', 0.037031445520722336), ('34', 0.0), ('I', 0.0)]",87.71444767441862,in
56,56,56,4.0,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR5G,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35.0,,"[('mens size', 0.24935141482412582), ('a difference size', 0.13528514961934146), ('a size chart', 0.1268145603204579), ('the sizes', 0.10666660886479895), ('great price', 0.08453342801867525), ('the product', 0.03517134979813385), ('i', 0.0), ('two', 0.0)]",84.8057142857143,undec
57,57,57,5.0,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800,,,"[('Excellent value', 0.40558868321380565)]",14.455000000000013,in
58,58,58,5.0,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR4W,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200,,,"[('Typical Hanes quality', 0.2749127715415475), ('Good weight', 0.2010221914061262), ('Hanes', 0.1684392778960474)]",70.50704545454548,in
59,59,59,3.0,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600,,,"[('first', 0.12103956237786262), ('a sweatpant purchase', 0.11090538391256076), ('the wast string', 0.06554518519550458), ('The waist string', 0.06258903582491185), ('the pants', 0.03826240541901675), ('I', 0.0), ('it', 0.0), ('them', 0.0)]",85.62982142857143,out
60,60,60,5.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600,,,"[('dark grey', 0.2853188229861284), ('I', 0.0), ('they', 0.0)]",100.24000000000002,in
61,61,61,3.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,They fit great. But they fade bad,Three Stars,1492041600,,,"[('They', 0.0), ('they', 0.0)]",118.6825,in
62,62,62,4.0,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400,,,"[('no pockets', 0.14471397085176993), ('the pants', 0.09218727194610331), ('four stars', 0.08137686243026661), ('I', 0.0), ('four', 0.0)]",87.99727272727276,out
63,63,63,3.0,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,Average product.  As described.,Three Stars,1490313600,,,"[('Average product', 0.40558868321380565)]",68.93750000000003,out
64,64,64,5.0,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR4W,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,,"[('comfy fit', 0.4714045207910316)]",77.90500000000002,in
65,65,65,2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200,,,"[('Nice pants', 0.244393376394371), ('a medium', 0.14573847150090757), ('it', 0.0)]",91.78000000000004,out
66,66,66,2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200,,,"[('Nice pants', 0.244393376394371), ('a medium', 0.14573847150090757), ('it', 0.0)]",83.32000000000004,out
67,67,67,4.0,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200,,,"[('d', 0.15737299661050286), ('pockets', 0.13183263336448905), ('my husband', 0.07509006038303494), ('another pair', 0.06704911893588471), ('I', 0.0), ('me', 0.0), ('them', 0.0), ('these', 0.0), ('they', 0.0)]",90.32125,out
68,68,68,1.0,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR4W,,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,,"[('clown pants', 0.27378978763133016), ('the pants', 0.10586477198262417), ('my husband', 0.08280482984060256), ('the legs', 0.07442493806301931), ('he', 0.0)]",73.1421739130435,out
